tweet_id,hashtags,full_text,user_name,user_location,tweet_favourites,tweet_sentiment_tb,tweet_sentiment_vs,user_verified,user_followers_count
3148,,"@rihanna सभी भाइयों से कल किसान आंदोलन के समर्थन में हो रहे चक्काजाम की शुरुआत राष्ट्रगान से करने के लिए अनुरोध | आप जहाँ भी हैं वहीँ से खुले आसमान में आकर राष्ट्रगान गा कर इस आंदोलन का समर्थन कर सकते हैं | 
🙏🙏🙏",Nandal,India,0,0.0,0.0,False,46
1873,,@rihanna Thanks Rihanna to support farmers❤️,Robinveer Singh,"Auckland, New Zealand",0,0.2,0.8689,False,1
1873,,@rihanna Thanks Rihanna to support farmers❤️,Robinveer Singh,"Auckland, New Zealand",0,0.2,0.8689,False,1
9899,,@rihanna God bless you Rihanna,Lakhwinder Singh,"Doha, Qatar",0,0.0,0.5994,False,1
5314,,@rihanna I would really be happy if could kindly explain the issues in farm bills and if you can't then pl shut your bloody mouth and stay away and enjoy your world of drugs and why didn't you tweet about capital hill?? 😡😡,Sunil Sachdev,"Greater Noida, India",2,0.24999999999999997,0.8333,False,442
1378,FarmersProtest,"@rihanna #FarmersProtest 
#StandwithFarmersProtest",dinesh jijo,chennai,0,0.0,0.0,False,22
8713,,@rihanna जय जवान जय किसान,रावण शाह काकोडिया,India,0,0.0,0.0,False,1
9339,,"@rihanna I love ur post, and I respect u so much for ur truth, excellent, ur the most the most imp person in History",waheed Abdul,"Islamabad, Pakistan",0,0.54,0.9231,False,30
6772,,@rihanna 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,Pawan Kumar Rajak,"सिलीगुड़ी, भारत",0,0.8,-0.9552,False,1
1152,,@rihanna We are thankful to you that you spoke on the ongoing Kisan agitation in India and those people who were impotent in India also spoke like @sachin_rt,Fun Waale Baba,India,0,0.0,0.4767,False,54
8157,,@rihanna Thank you so much for this support Rihanna.,Navv Dhillon,Toronto 🇨🇦,0,0.2,0.6833,False,4
1597,,"@rihanna @ it's nothing wrong in giving your views, appreciable.",Varun Sheokand,"Faridabad, India",0,-0.5,0.1326,False,927
8610,,@rihanna Thanks,andyorton,"Winnipeg, Manitoba",0,0.2,0.4404,False,1
5688,,@rihanna Indian regime is the worst paradigm of World's biggest Demo(N)cracy....!!! And the biggest blemish on true democracy..!!,Harry Chohan,Toronto,0,-0.2265625,-0.5374,False,3
1336,FarmersStandingFirm,"@rihanna If someone praises, the name of the country is being done and when someone speaks the truth, it is the case of our country.#FarmersStandingFirm",Shahbaz ali,Batla House Jamia,0,0.0,0.6908,False,60
6137,FarmerProtest,@rihanna #FarmerProtest,shemeel,"بخاء, سلطنة عمان",0,0.0,0.0,False,3
2453,,@rihanna THAT'S BECAUSE IT'S NONE OF YOUR BUSINESS!!!,#vir,"Auckland, New Zealand",0,0.0,0.0,False,27
3918,,@rihanna Thank you so much for stay with my contry farmers but after your tweet many fake indian jealous they are talking wrong about you please do something and save farmers,rahat shahrukh malik,Moradabad Utter Pradesh,0,-0.07500000000000001,-0.6486,False,122
2078,,@rihanna https://t.co/rGCf1FFMkJ,rahat shahrukh malik,Moradabad Utter Pradesh,0,0.0,0.0,False,122
4206,,"@rihanna Over fake heroes .. they don't want stand with farmars they ....
😁😁😁😁🖕🖕🖕 https://t.co/kv6La588Hr",Shiva Parvati,Indian,0,-0.5,0.8996,False,5
9774,,@rihanna Over PM is doing wel https://t.co/V4vjQyVKCd,Shiva Parvati,Indian,0,0.0,0.0,False,5
3214,,@rihanna To andh bhagt https://t.co/kjD6VhqUPr,Shiva Parvati,Indian,0,0.0,0.0,False,5
9887,,@rihanna 🙌🏻,/eternity,"Toronto, Ontario",0,0.4,0.0,False,133
5458,IndiaAgainstPropaganda,@rihanna #IndiaAgainstPropaganda,ankita agrawal,"उदयपुर, भारत",0,0.0,0.0,False,66
6708,,@rihanna Because it's none of your business mam,vinita ugaonkar,nashik,0,0.0,0.0,False,54
4190,,@rihanna Thank you @rihanna 🌸🌸,Janardhan Mourya,Mysuru,0,0.0,0.3612,False,2
4625,Kerala,"@rihanna @rihanna: Income tax department in India can't take action against you.😆
So keep tweeting 🤩
#Kerala
#StandWithFarmers
#FarmersProtest",Shaloob Jabbar,"Kerala, India",0,0.1,0.0,False,14
2141,,"@rihanna Thanks and Congratulations Rihana. Now See 1.3 billion talking,  even more!!
Sad part is for your 6 words you will never get the title of traitor.",Mohammed Imran Mirza,India,0,0.16041666666666665,0.6112,False,18
5339,uscapitolbreach,"@rihanna Can’t find your tweet on #uscapitolbreach ?? Just focus on what you do, India don’t need your unwanted advice.",Vijay C,"San Francisco, CA",0,0.0,-0.3094,False,30
8388,,@rihanna 👏Thanks for supporting for farmers 🌾🌾,Harman sidhu,"Tarn Taran, India",0,0.25,0.4404,False,5
5093,,@rihanna https://t.co/d7XWm57RUG,kathir,Kanyakumari,0,0.0,0.0,False,4
1225,,@rihanna ओझा देश पर बोझा,Jagjit Singh,"नई दिल्ली, भारत",0,0.0,0.0,False,1
9128,,"@rihanna What you know abt India and its issue Rihaana??
Are you paid too .. there are more issue for you at home , your toilet sink has leakage ..get that fixed !! Dont put your nose here .. We will manage our country matters at our own..",Timy,"Ludhiana, India",0,0.30572916666666666,0.2603,False,7
3082,,@rihanna 🌾🌾💪🙋,GURJANT SINGH,lakhimpur UTTARPARDESH ,0,0.0,0.4939,False,12
7813,FarmersProtest,@rihanna @UN #FarmersProtest in #India,Arjun Singh❤,"Karauli, India",0,0.0,0.0,False,147
6149,,@rihanna Omg! Do you have idea about Farmer and Farming....,SAURAB,"Maharashtra, India",0,0.0,0.0,False,10
9343,,@rihanna Love you rihanna,Raj arora,muktsar,0,0.5,0.6369,False,10
8749,,@rihanna Coz you know nothing about this 🤦🏼‍♂️,Chetan🌟,"Perth, Western Australia",0,0.0,0.0,False,19
3363,,@rihanna Princess of China,Vikrant Arora,"Dharmsala, India",0,0.0,0.0,False,1
1107,,"@rihanna भक्कतो आपकी कंगना दीदी को तो रिप्लाई मिला नहीं । आप क्यों खामाखा अपना pishwada रगड़ रहे हो।

Bhakts have huggna 

Farmers have rihana",मवाली,"Punjab, India",0,0.0,0.0,False,735
9338,,@rihanna ✊🧡,Prabhjot Mand,"Surrey, British Columbia",0,0.0,0.6369,False,43
7386,,@rihanna Thanks,ricky preet bal,australia,0,0.2,0.4404,False,2
1813,,"@rihanna Thank you for supporting farmers,",Nisthar,"Al Khobar, Kingdom of Saudi Ar",0,0.25,0.6597,False,2
8328,,@rihanna 👍👍,Gagan Singh,"हरियाणा, भारत",0,0.0,0.0,False,0
6655,,@rihanna Good think mam,Mohammad Aseem Khan,Kuwait,0,0.7,0.4404,False,7
