text,frequency,avg_sentiment_tb,avg_sentiment_vs,%age_share
indianfarmershumanrights,31,0.08260816692268304,0.19429032258064521,0.0043265875785066295
indians,90,0.05684730238896903,0.08081555555555557,0.01256106071179344
indiarejectspropaganda,21,0.11624372981515838,-0.0029000000000000033,0.0029309141660851363
indiatogether,43,0.07520642471223868,0.11329999999999998,0.006001395673412422
interfere,50,0.02641304112554112,-0.008913999999999998,0.006978367062107467
internal,130,0.07459728558478558,0.04155692307692314,0.018143754361479414
international,44,0.07888866341991344,0.27935227272727275,0.006140963014654571
internet,35,-0.030728703458295297,-0.22381142857142866,0.004884856943475227
issue,127,0.10128446834770652,0.21071417322834654,0.017725052337752966
istandwithfarmers,51,0.0670329520697168,0.24272156862745098,0.007117934403349616
jai,28,0.029826324469181615,0.19868214285714286,0.003907885554780182
ji,58,0.151820197044335,0.38861379310344824,0.008094905792044662
job,85,0.5626820728291317,0.5172870588235289,0.011863224005582694
justice,24,0.0997953869047619,-0.06484999999999999,0.003349616189811584
kanganateam,24,0.05198929398148149,-0.13408333333333333,0.003349616189811584
kashmir,30,0.022439187796330664,-0.03889,0.00418702023726448
ke,24,0.09027777777777778,0.15985416666666666,0.003349616189811584
keep,79,0.17605325976765845,0.3285898734177216,0.011025819958129797
ki,42,0.08412698412698413,0.03344523809523809,0.0058618283321702725
kill,33,0.024519158030521664,-0.7110151515151515,0.004605722260990928
kind,26,0.2763190975690976,0.4244192307692308,0.0036287508722958827
kisan,48,0.065625,0.19591250000000002,0.006699232379623168
know,260,0.05441183995402744,0.10353307692307694,0.03628750872295883
knowledge,40,0.13431662608225106,0.0939725,0.005582693649685973
ko,22,0.12315932765151517,0.06992272727272728,0.0030704815073272856
lady,28,0.24521931689342405,0.485275,0.003907885554780182
law,37,0.026786981786981797,0.006316216216216205,0.005163991625959525
laws,41,0.021813969397810867,0.06149756097560973,0.005722260990928122
let,47,0.12187651591906913,0.1826170212765958,0.006559665038381019
life,32,0.14088338744588744,0.31144375,0.004466154919748779
like,175,0.1231101130351131,0.29560799999999987,0.024424284717376135
live,65,0.10737599900099899,0.17414923076923072,0.009071877180739707
